部分,考试类型,问题类型,问答对,筛选后三元组
研考成考,成人高考,考试篇,问：考生有低血糖或听力障碍，腿脚不便等问题，该如何申请合理化便利？答：请考生提前将自身情况向第一志愿院校反映。,"['(考生, 有, 低血糖)', '(考生, 有, 听力障碍)', '(考生, 具有身体障碍, 腿脚不便)', '(考生, 申请, 合理化便利)']"
研考成考,成人高考,考试篇,问：考生已经在上海报名，因为工作关系临时前往外省市。无法及时回上海参加成人高考。是否可以再次报考外省市的成人高考考试。答：上海市不接受和外省同时报名（含免试）的考生，一经发现将取消在上海市的报名、考试和录取资格。,"['(考生, 报名地点, 上海)', '(上海, 不接受, 与外省市同时报名的考生)', '(考生, 禁止同时报考, 外省市成人高考考试)']"
研考成考,成人高考,考试篇,问：成人高考成绩一般什么时候公布？在哪里查询？答：考生可在规定时间内登录上海市教育考试院“上海招考热线”网站（www.shmeea.edu.cn）“成绩查询”栏目或“一网通办”PC端（zwdt.sh.gov.cn）、“随申办”移动端，选择“2022年上海市成人高校招生统一考试成绩查询”进入查询界面，输入本人准考证号和密码（初始密码为网上报名使用的证件号码后六位非字母的数字）查询成绩。注：2022年成人高考成绩公布时间是在11月25日10:00起。,"['(上海教育考试院, 运营, 上海招考热线网站)', '(成人高考成绩, 查询方式, 上海招考热线网站)', '(成人高考成绩, 查询方式, 一网通办PC端)', '(成人高考成绩, 查询方式, 随申办移动端)', '(成人高考成绩, 对应, 2022年上海市成人高校招生统一考试)', '(2022年上海市成人高校招生统一考试成绩查询, 需要, 准考证号)', '(成绩查询, 需要输入, 证件号码后六位非字母的密码)', '(上海招考热线网站, 包含, 成绩查询栏目)']"
研考成考,成人高考,考试篇,问：准考证丢失，准考证号和报名号遗忘如何查询成考成绩？答：请考生联系第一志愿院校获取准考证号信息。,"['(第一志愿院校, 提供, 准考证号信息)', '(准考证号, 用于查询, 成人高考成绩)']"
研考成考,成人高考,考试篇,问：对成人高考的成绩有疑义？答：考生若对本人成绩有疑问，可于规定时间登录“上海招考热线”网站进入“成绩查询”栏目，选择“20XX年上海市成人高校招生统一考试成绩复核”申请成绩复核。注：2022年成人高考成绩复核时间在11月26日9:00-16:00。,[]
研考成考,成人高考,考试篇,问：成绩复核什么内容？答：成绩复核只核查答题纸姓名、准考证号是否与考生本人对应，试卷有无漏评、漏阅，小题得分是否漏统，各小题得分合成后是否与提供给考生的成绩一致等，不重新评阅答卷。复核结果只向考生提供所复核科目成绩总分。不得查阅答卷。,"['(成绩复核, 核查内容, 姓名)', '(成绩复核, 核查, 准考证号)', '(成绩复核, 核查, 漏评)', '(成绩复核, 核查, 漏阅)', '(成绩复核, 核查, 小题得分漏统)', '(复核结果, 提供, 所复核科目成绩总分)', '(成绩复核, 不重新评阅, 答卷)', '(成绩复核, 不得查阅, 答卷)']"
研考成考,成人高考,志愿篇,问：成人高考的志愿怎么填报？答：（1）志愿分两次网上填报。（2）第一次填报志愿与网上报名同时进行，考生根据自身情况填报“意向志愿”。报考高起专：考生可以填报三个专业科类相同的高职高专院校志愿。报考高起本：考生在填报三个专业科类相同的本科院校志愿后，还可以填报 三个科类相同或兼容的高职高专院校志愿。报考专升本：考生可以填报三个专业科类相同的本科院校志愿。凡报考艺术类、体育类专业的考生必须将艺术类、体育类专业填报在第一志愿。（3）第二次填报志愿在考试结束、公布考生成绩及全市录取最低控制分数线之后进行。考生须再次登录志愿填报系统，填报“正式志愿”。“正式志愿”与“意向志愿”的学习层次、科类必须相同，所报院校或专业可以不同。未在规定时间填报“正式志愿”的考生，默认其“意向志愿”为“正式志愿”。注：以当年公布文件为准。,"['(成人高校招生考试, 包含步骤, 考生填报志愿)', '(第一次填报志愿, 生成, 意向志愿)', '(高起专, 可填报, 三个专业科类相同的高职高专院校志愿)', '(高起本, 需填报, 三个本科院校志愿)', '(高起本, 可填报, 三个科类相同或兼容的高职高专院校志愿)', '(专升本, 可填报, 三个专业科类相同的本科院校志愿)', '(第二次填报志愿, 时间在, 考试结束且成绩及分数线公布后)', '(正式志愿, 需保持相同层次和科类, 意向志愿)', '(志愿填报规则, 依据, 当年公布文件)']"
研考成考,成人高考,志愿篇,问：最低控制分数线是多少？答：考生可以关注“上海招考热线”网站（www.shmeea.edu.cn）首页—研考成考—成人高校招生考试栏目发布的“20XX年上海市成人高校招生最低录取控制分数线 ”有说明。,"['(上海招考热线网站, 发布, 20XX年上海市成人高校招生最低录取控制分数线)', '(研考成考, 包含, 成人高校招生考试)']"
研考成考,成人高考,志愿篇,问：什么是兼容？答：兼容是指科类的兼容，如41科类的专业是高起本专业，考生考试需要考4门课程，前3门课程跟51科类的高起专专业要求是一样的。这种情况下，高起本的考生，除了可以报41科类的专业以外，还可以报51科类的专业。这就是专业科类的兼容。,"['(兼容, 指, 科类的兼容)', '(41科类专业, 是, 高起本专业)', '(高起专专业, 科类, 51科类)', '(高起本考生, 可报考, 41科类专业)', '(高起本考生, 可兼容报考, 51科类专业)']"
研考成考,成人高考,志愿篇,问：有哪些专业可以选择？答：招生院校和招生专业请查看“上海招考热线”网站（www.shmeea.edu.cn）首页—研考成考—成人高校招生考试栏目发布的“20XX年上海市成人高校招生专业目录”。注：2023年高起本：https://www.shmeea.edu.cn/download/20230829/201.pdf；2023年高起专：https://www.shmeea.edu.cn/download/20230829/202.pdf；2023年专升本：https://www.shmeea.edu.cn/download/20230829/203.pdf。,"['(上海招考热线网站, 下设栏目, 研考成考)', '(研考成考, 包含栏目, 成人高校招生考试)', '(上海招考热线网站, 发布, 上海市成人高校招生专业目录)', '(上海市成人高校招生专业目录, 包含, 招生高校)', '(上海市成人高校招生专业目录, 包含, 招生专业)', '(研考成考, 包含子类, 成人高校招生考试)']"
研考成考,成人高考,志愿篇,问：成人高考有征求志愿吗？答：有的。,"['(成人高校招生考试, 有, 征求志愿)']"
研考成考,成人高考,志愿篇,问：征求志愿有降分吗？答：只有农林、水利、地质、矿业、测绘、远洋运输、社会福利类所有专业，以及专升本和高起本的公安、监狱、劳教类专业，如线上生源不足可适当降分投档，降分幅度最大不得超过20分。,"['(农林类所有专业, 允许降分投档, 降分投档)', '(水利类专业, 可降分投档, 线上生源不足时)', '(地质类专业, 适用, 降分投档)', '(矿业类专业, 适用, 降分投档)', '(测绘类专业, 生源不足时可降分投档, 最大降分20分)', '(远洋运输类专业, 适用条件, 线上生源不足时可降分投档)', '(社会福利类所有专业, 可降分投档, 线上生源不足时)', '(专升本和高起本公安类专业, 允许, 降分投档)', '(专升本和高起本的监狱类专业, 允许降分投档, 降分投档)', '(降分幅度, 最大降分不得超过, 20分)']"
研考成考,成人高考,志愿篇,问：征求志愿什么时候可以填报？在哪里填报？答：考生可在规定时间内登录“上海招考热线”网站（www.shmeea.edu.cn）首页—志愿填报—栏目选择对应栏目填报。注：2022年专升本、高起本征求志愿填报时间于12月15日9:00—22:00进行；2022年高起专征求志愿填报时间于12月27日9:00—22:00进行。,"['(征求志愿, 填报渠道, 上海市教育考试院报名网站)', '(专升本, 属于, 成人高校招生考试)', '(高起本, 属于, 成人高校招生考试)', '(高起专, 属于, 成人高校招生考试)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,录取相关篇,问：成人高考是否有新生复查？答：是的。新生入学后，各成人高校要对新生报到所需录取通知书、身份证、加分照顾和免试入学资格证明等材料与录取新生名册、电子档案逐一进行比对核查，并通过“人脸识别”等技术严防冒名顶替。对不符合报考条件或弄虚作假、违纪舞弊者，一律按有关规定取消其入学资格，并报告上海市教育考试院倒查追责；对不能通过学籍电子注册的专升本新生，必须进行第一学历复核，不能提供经教育部审定核准的国民教育系列高等学校、高等教育自学考试机构颁发的相应层次及以上毕业证书者，由招生院校取消其入学资格，并报告上海市教育考试院备案；对于非本市常住户口的新生，要核验其在本市工作的单位证明，未提交或未核验通过的新生不予注册电子学籍，取消入学资格。,"['(成人高校招生考试, 包含环节, 新生复查)', '(新生复查, 需要材料, 录取通知书)', '(新生复查, 需要提供材料, 居民身份证)', '(成人高考新生复查, 核查材料包括, 免试入学资格证明)', '(新生复查, 采用技术, 人脸识别)', '(冒名顶替, 处理结果, 取消入学资格)', '(专升本新生, 需进行, 第一学历复核)', '(第一学历复核, 依赖材料, 毕业证书)', '(高等教育自学考试机构, 颁发, 毕业证书)', '(非本市常住户口新生, 需要提供, 在本市工作的单位证明)', '(非本市常住户口新生未提交或未通过工作证明核验, 导致, 取消入学资格)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,录取相关篇,"问：报名后考生个人身份信息如姓名发生变更,怎样修改？答：报名完成后至录取结束阶段中不能变更个人身份信息。如确实发生信息变更的，在招生院校完成新生报到后，由招生院校进行变更。","['(信息变更, 执行变更, 招生高校)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,录取相关篇,问：怎么了解录取情况？从哪些渠道查询？答：成人高考相关信息可通过“上海招考热线”网站（www.shmeea.edu.cn）和“上海国子监发布”微信公众号查询。,"['(成人高校招生考试, 查询渠道, 上海招考热线网站)', '(成人高校招生考试, 查询渠道, 微信公众号上海国子监发布)', '(上海国子监发布, 是, 微信公众号)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,录取相关篇,问：录取通知书什么时候发？向哪里咨询？答：录取通知书一般在录取结束后由录取院校发放，具体请咨询录取院校。,"['(录取通知书, 发放者, 录取院校)', '(录取通知书, 发放时间, 录取结束后)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,录取相关篇,问：成人高考可以取得学位证书吗？需要符合哪些条件？答：具体的学位授予政策由各成人高校自行制定，请咨询相关高校。,"['(成人高校, 制定, 学位授予政策)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,录取相关篇,问：成人高考往年考试成绩能够查询吗？答：可以，从2008年起参加的成人高考。考生可尝试通过“一网通办”或“随申办”小程序在线办理。具体操作办法见“上海招考热线”网站（www.shmeea.edu.cn）—首页—信息公开—公开指南栏目“上海市教育考试院部分考试申请办理成绩证明须知”。,"['(成人高校招生考试, 成绩可查询起始年份, 2008年)', '(成人高校招生考试, 办理渠道, 随申办小程序)', '(成人高校招生考试, 具体操作办法参见, 上海招考热线网站)', '(上海招考热线首页, 包含栏目, 信息公开)', '(上海招考热线公开指南栏目, 包含, 上海市教育考试院部分考试申请办理成绩证明须知)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,报名篇,问：报考需要满足哪些条件？答：考生的报名条件、报考语种和学科（专业学位类别）须符合《关于做好2023年同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试工作的通知》（学位办〔2023〕4号）有关规定。,[]
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,报名篇,问：什么时候可以报名考试？答：具体时间信息请以中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）发布的公告为准。注：2023年度考试报名时间在3月13日-26日。,[]
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,报名篇,问：考生怎样报名？答：满足报考条件的考生需在报名开放时间登录中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/）进行报名。,"['(考生, 需满足, 报考条件)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：考试安排在什么时间？答：考生可关注“上海招考热线”网站（www.shmeea.edu.cn）—首页—研考成考—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试栏目发布的“20XX年同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试即将举行”公告。具体以准考证信息为准。注：2023年考试时间在5月21日。,"['(上海招考热线网站, 包含栏目, 研考成考)', '(上海市教育考试院报名网站, 发布考试信息, 同等学力人员申请硕士学位全国统一考试)', '(同等学力人员申请硕士学位全国统一考试, 考试时间, 2023年5月21日)', '(同等学力全国统一考试2023年考试时间, 考试日期, 5月21日)', '(同等学力人员申请硕士学位全国统一考试, 考试时间依据, 准考证上的信息)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：准考证什么时候下载？答：请考生自行关注中国教育考试网—同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试网（https://tdxl.neea.edu.cn/html1/category/2210/313-1.htm）栏目发布的信息。,"['(中国教育考试网, 发布考试信息, 同等学力人员申请硕士学位全国统一考试)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：考试有哪些科目？答：外国语水平考试和学科综合水平考试。,"['(同等学力人员申请硕士学位全国统一考试, 包含科目, 外国语水平考试)', '(同等学力人员申请硕士学位全国统一考试, 包含科目, 学科综合水平全国统一考试)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：入场证件有什么要求？答：考生须凭准考证和网上报名所使用的有效身份证件，验证通过后入场参加考试。,"['(研考成考, 包含, 同等学力人员申请硕士学位全国统一考试)', '(全国统一考试, 分为, 外国语水平和学科综合水平)', '(申请硕士学位, 需要通过, 同等学力人员申请硕士学位全国统一考试)', '(入场证件要求, 需要, 准考证和有效身份证件)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：考生如果迟到了，最晚什么时候可以进入考场？答：开考 15 分钟后不得入场。,"['(同等学力人员申请硕士学位全国统一考试, 迟到禁止入场时间, 开考15分钟后不得入场)', '(同等学力人员申请硕士学位全国统一考试, 迟到入场截止时间, 开考15分钟后不得入场)', '(考场, 禁止进入时间, 开考15分钟后)', '(考生, 参加, 同等学力人员申请硕士学位全国统一考试)', '(考生, 参加, 同等学力人员申请硕士学位学科综合水平全国统一考试)']"
研考成考,同等学力人员申请硕士学位外国语水平和学科综合水平全国统一考试,考试篇,问：考试可以携带计算器吗？答：部分有需求的科目可携带的考试用品为：绘图仪器、无存储和编程功能的电子计算器等。,"['(同等学力人员申请硕士学位全国统一考试, 属于, 研考成考)', '(学科综合水平全国统一考试, 属于, 同等学力人员申请硕士学位全国统一考试)']"
